Employee_ID,Age,Gender,Country,Continent,Remote_Work,Company_Size,Work_Experience,Role,Work_Mode,Salary_Range,Therapy_Access,Mental_Health_Condition,Employer_Support,Comfort_Discussing_MH,Work_Stress_Level,Job_Satisfaction
E0001,59,Other,Australia,Oceania,Yes,Large (500+),23,Designer,Flexible,50K-100K,No,No,Partial,1,4,9
E0002,49,Female,Japan,Asia,No,Medium (51-500),21,Analyst,Night Shift,<50K,No,No,Yes,5,1,9
E0003,35,Other,Australia,Oceania,Yes,Medium (51-500),3,Designer,Flexible,100K-150K,Yes,Yes,No,1,8,3
E0004,28,Male,USA,North America,No,Large (500+),1,Data Scientist,Day Shift,<50K,No,Yes,Yes,2,1,5
E0005,41,Female,USA,North America,No,Large (500+),24,Developer,Day Shift,50K-100K,No,No,No,2,5,3
E0006,59,Other,Canada,North America,Yes,Large (500+),19,Analyst,Night Shift,100K-150K,Not Sure,Yes,Yes,2,6,10
E0007,39,Other,Germany,Europe,Hybrid,Large (500+),18,Analyst,Day Shift,>150K,Yes,No,Yes,4,2,2
E0008,43,Male,USA,North America,No,Large (500+),17,Data Scientist,Day Shift,50K-100K,No,Yes,No,5,7,1
E0009,31,Female,UK,Europe,Hybrid,Small (1-50),20,Designer,Day Shift,50K-100K,Not Sure,No,No,1,7,10
E0010,31,Other,Brazil,South America,Hybrid,Small (1-50),29,Developer,Day Shift,100K-150K,Not Sure,No,Yes,1,1,2
E0011,44,Male,South Africa,Africa,Yes,Medium (51-500),24,Analyst,Flexible,50K-100K,Yes,No,No,2,4,8
E0012,56,Other,Australia,Oceania,Yes,Small (1-50),13,Developer,Day Shift,50K-100K,Yes,No,No,5,4,8
E0013,44,Female,Canada,North America,Yes,Small (1-50),3,Analyst,Night Shift,50K-100K,Not Sure,Yes,Yes,5,5,3
E0014,23,Other,India,Asia,No,Small (1-50),30,Designer,Night Shift,50K-100K,Yes,Yes,No,3,1,7
E0015,42,Other,South Africa,Africa,Yes,Large (500+),1,Engineer,Day Shift,50K-100K,Yes,Yes,Partial,5,1,7
E0016,22,Other,UK,Europe,Yes,Medium (51-500),4,Analyst,Night Shift,50K-100K,Not Sure,No,No,5,7,2
E0017,44,Other,Australia,Oceania,No,Medium (51-500),25,Engineer,Day Shift,50K-100K,Not Sure,No,Yes,1,9,9
E0018,50,Male,UK,Europe,No,Medium (51-500),13,Analyst,Night Shift,50K-100K,Yes,No,Yes,5,1,3
E0019,58,Male,Brazil,South America,Yes,Medium (51-500),17,Manager,Night Shift,>150K,No,No,No,5,2,2
E0020,22,Female,Brazil,South America,Yes,Small (1-50),28,Designer,Day Shift,50K-100K,Yes,No,Partial,1,6,3
E0021,41,Male,Japan,Asia,Yes,Small (1-50),30,Data Scientist,Day Shift,>150K,No,No,No,5,6,2
E0022,53,Male,Canada,North America,Yes,Large (500+),11,Engineer,Flexible,>150K,Not Sure,Yes,Yes,1,2,8
E0023,32,Female,South Africa,Africa,Hybrid,Medium (51-500),2,Data Scientist,Day Shift,<50K,No,Yes,No,3,9,5
E0024,42,Male,France,Europe,Hybrid,Small (1-50),25,Designer,Day Shift,<50K,Not Sure,No,Partial,4,4,3
E0025,45,Male,France,Europe,Yes,Small (1-50),16,Data Scientist,Flexible,>150K,Yes,No,Yes,1,7,5
E0026,47,Female,South Africa,Africa,Hybrid,Large (500+),2,Designer,Day Shift,>150K,Yes,Yes,Partial,1,6,8
E0027,48,Female,India,Asia,No,Large (500+),29,Data Scientist,Day Shift,50K-100K,Not Sure,No,Partial,5,3,7
E0028,36,Female,Canada,North America,Hybrid,Large (500+),19,Engineer,Flexible,<50K,Not Sure,No,Yes,1,8,6
E0029,35,Other,UK,Europe,Hybrid,Small (1-50),23,Manager,Day Shift,100K-150K,Not Sure,No,Partial,2,7,1
E0030,23,Other,India,Asia,Yes,Small (1-50),19,Data Scientist,Day Shift,<50K,Yes,Yes,Yes,2,9,10
E0031,57,Female,Germany,Europe,Hybrid,Large (500+),25,Engineer,Flexible,>150K,Yes,Yes,Partial,3,3,1
E0032,27,Female,South Africa,Africa,Hybrid,Medium (51-500),16,Analyst,Flexible,>150K,No,No,No,1,1,1
E0033,41,Female,UK,Europe,Hybrid,Large (500+),22,Designer,Night Shift,50K-100K,Not Sure,No,No,5,2,10
E0034,29,Other,France,Europe,Hybrid,Large (500+),19,Developer,Day Shift,50K-100K,No,No,No,5,1,8
E0035,59,Other,USA,North America,No,Large (500+),9,Developer,Night Shift,<50K,Yes,Yes,Partial,4,5,8
E0036,38,Male,Japan,Asia,Yes,Large (500+),1,Designer,Night Shift,50K-100K,No,Yes,Yes,3,10,7
E0037,24,Male,France,Europe,Yes,Small (1-50),10,Manager,Flexible,100K-150K,No,No,No,5,2,6
E0038,45,Female,Canada,North America,No,Medium (51-500),19,Data Scientist,Day Shift,100K-150K,Yes,No,Yes,4,3,4
E0039,34,Other,Brazil,South America,Hybrid,Large (500+),1,Manager,Day Shift,50K-100K,Yes,No,Yes,5,8,1
E0040,29,Other,USA,North America,No,Medium (51-500),2,Developer,Flexible,100K-150K,Not Sure,No,Yes,4,10,9
E0041,46,Other,Japan,Asia,Hybrid,Medium (51-500),16,Engineer,Night Shift,100K-150K,No,Yes,No,2,5,1
E0042,22,Female,Japan,Asia,No,Medium (51-500),12,Designer,Flexible,<50K,Yes,No,Yes,2,4,4
E0043,40,Male,Germany,Europe,Yes,Large (500+),8,Designer,Day Shift,100K-150K,Yes,No,Yes,5,5,3
E0044,48,Female,Germany,Europe,Yes,Small (1-50),23,Manager,Flexible,>150K,No,Yes,Yes,3,10,7
E0045,27,Male,Australia,Oceania,Yes,Large (500+),18,Engineer,Day Shift,>150K,Yes,No,Yes,1,6,5
E0046,28,Male,France,Europe,Hybrid,Medium (51-500),2,Manager,Night Shift,<50K,Not Sure,Yes,No,3,7,5
E0047,55,Female,France,Europe,Hybrid,Medium (51-500),25,Data Scientist,Day Shift,50K-100K,Not Sure,Yes,Partial,3,9,4
E0048,34,Male,France,Europe,No,Small (1-50),29,Analyst,Night Shift,<50K,No,Yes,Yes,1,1,1
E0049,37,Male,Australia,Oceania,No,Large (500+),13,Engineer,Night Shift,50K-100K,Not Sure,Yes,Partial,2,4,5
E0050,56,Other,India,Asia,Yes,Medium (51-500),6,Analyst,Day Shift,50K-100K,Yes,Yes,Partial,2,9,4
E0051,24,Male,Japan,Asia,Hybrid,Small (1-50),21,Data Scientist,Day Shift,50K-100K,Yes,No,No,1,5,10
E0052,22,Female,USA,North America,No,Medium (51-500),26,Analyst,Night Shift,50K-100K,Yes,No,No,4,8,8
E0053,26,Female,Canada,North America,Hybrid,Small (1-50),6,Developer,Flexible,50K-100K,Yes,No,Partial,3,1,2
E0054,24,Male,Japan,Asia,Hybrid,Small (1-50),9,Analyst,Day Shift,<50K,No,Yes,Yes,5,4,8
E0055,49,Other,Germany,Europe,Yes,Large (500+),16,Data Scientist,Night Shift,50K-100K,Not Sure,Yes,No,2,9,1
E0056,38,Other,UK,Europe,Yes,Medium (51-500),11,Analyst,Night Shift,100K-150K,Not Sure,No,No,5,1,4
E0057,46,Male,Brazil,South America,Hybrid,Large (500+),7,Designer,Flexible,100K-150K,Yes,No,No,1,1,3
E0058,54,Male,Australia,Oceania,Hybrid,Medium (51-500),10,Manager,Day Shift,50K-100K,No,Yes,Partial,5,4,5
E0059,30,Female,South Africa,Africa,Hybrid,Large (500+),10,Developer,Night Shift,100K-150K,Yes,No,Yes,5,3,5
E0060,56,Male,UK,Europe,Hybrid,Medium (51-500),30,Designer,Flexible,>150K,Yes,No,No,3,7,5
E0061,34,Other,Canada,North America,Yes,Large (500+),25,Designer,Night Shift,<50K,No,No,No,1,3,4
E0062,51,Male,France,Europe,No,Small (1-50),20,Data Scientist,Day Shift,<50K,No,No,Yes,5,1,8
E0063,35,Female,Germany,Europe,Yes,Medium (51-500),18,Manager,Flexible,50K-100K,Yes,Yes,Yes,2,10,3
E0064,28,Female,Germany,Europe,No,Medium (51-500),28,Manager,Night Shift,50K-100K,Not Sure,No,No,1,2,4
E0065,34,Female,Germany,Europe,Hybrid,Small (1-50),24,Engineer,Flexible,>150K,Yes,Yes,Partial,2,10,1
E0066,43,Female,France,Europe,No,Large (500+),20,Developer,Day Shift,50K-100K,Not Sure,No,No,4,4,7
E0067,41,Female,South Africa,Africa,Yes,Medium (51-500),29,Data Scientist,Flexible,100K-150K,Not Sure,Yes,Partial,5,1,1
E0068,36,Male,Australia,Oceania,Yes,Medium (51-500),9,Developer,Day Shift,>150K,No,No,No,1,1,2
E0069,38,Male,UK,Europe,Hybrid,Large (500+),15,Engineer,Night Shift,100K-150K,No,Yes,Yes,2,8,7
E0070,44,Male,France,Europe,Yes,Small (1-50),4,Analyst,Day Shift,<50K,Yes,No,Yes,5,7,1
E0071,46,Male,Canada,North America,Hybrid,Large (500+),8,Designer,Night Shift,100K-150K,Not Sure,No,Yes,3,8,3
E0072,45,Female,Australia,Oceania,Yes,Large (500+),9,Developer,Night Shift,<50K,Not Sure,No,Yes,2,4,6
E0073,49,Other,Canada,North America,Yes,Large (500+),13,Designer,Day Shift,100K-150K,Yes,No,Yes,2,6,6
E0074,35,Male,Australia,Oceania,Hybrid,Medium (51-500),9,Data Scientist,Night Shift,<50K,Yes,No,Partial,4,3,6
E0075,21,Other,South Africa,Africa,No,Small (1-50),26,Analyst,Flexible,50K-100K,Yes,No,Partial,3,8,2
E0076,45,Male,Brazil,South America,Yes,Small (1-50),4,Data Scientist,Night Shift,100K-150K,No,No,Yes,4,4,2
E0077,27,Male,Canada,North America,No,Large (500+),17,Analyst,Day Shift,<50K,Yes,No,Yes,3,3,6
E0078,29,Other,France,Europe,Yes,Medium (51-500),16,Analyst,Flexible,100K-150K,Yes,No,Yes,2,4,10
E0079,44,Female,Australia,Oceania,Yes,Large (500+),15,Designer,Flexible,>150K,Not Sure,No,No,4,6,5
E0080,21,Male,Germany,Europe,Yes,Medium (51-500),3,Data Scientist,Night Shift,50K-100K,Yes,No,Yes,5,7,7
E0081,28,Male,Japan,Asia,Yes,Medium (51-500),25,Data Scientist,Night Shift,<50K,Not Sure,No,Yes,3,7,7
E0082,44,Male,Germany,Europe,No,Medium (51-500),20,Developer,Day Shift,>150K,Not Sure,No,Partial,2,4,5
E0083,31,Other,India,Asia,No,Medium (51-500),5,Data Scientist,Flexible,100K-150K,No,No,Partial,1,8,8
E0084,37,Female,Brazil,South America,Yes,Small (1-50),23,Developer,Day Shift,>150K,Yes,No,Yes,3,7,10
E0085,28,Other,Brazil,South America,Yes,Medium (51-500),5,Manager,Night Shift,100K-150K,Yes,Yes,No,3,2,6
E0086,55,Other,Germany,Europe,No,Medium (51-500),20,Manager,Flexible,50K-100K,Not Sure,No,Yes,5,8,5
E0087,55,Female,UK,Europe,Hybrid,Large (500+),15,Manager,Day Shift,>150K,No,No,Partial,3,9,4
E0088,53,Other,South Africa,Africa,Hybrid,Large (500+),18,Engineer,Day Shift,50K-100K,No,No,No,3,5,7
E0089,25,Female,Canada,North America,No,Small (1-50),15,Data Scientist,Day Shift,<50K,Yes,No,Yes,5,4,4
E0090,59,Male,France,Europe,Yes,Large (500+),2,Engineer,Day Shift,100K-150K,Not Sure,Yes,Partial,5,4,5
E0091,48,Female,Brazil,South America,Yes,Medium (51-500),29,Data Scientist,Day Shift,100K-150K,Yes,No,Yes,4,4,5
E0092,27,Male,Germany,Europe,Hybrid,Large (500+),13,Developer,Flexible,50K-100K,Yes,No,Yes,2,6,1
E0093,29,Other,Germany,Europe,Hybrid,Small (1-50),4,Engineer,Day Shift,50K-100K,Yes,No,Yes,2,4,1
E0094,28,Other,South Africa,Africa,No,Large (500+),10,Engineer,Flexible,<50K,Yes,Yes,No,4,7,3
E0095,32,Male,South Africa,Africa,Hybrid,Large (500+),13,Engineer,Day Shift,>150K,Not Sure,No,Yes,2,7,3
E0096,54,Other,USA,North America,No,Small (1-50),10,Analyst,Night Shift,100K-150K,No,No,Yes,3,5,2
E0097,53,Female,USA,North America,Hybrid,Small (1-50),29,Developer,Night Shift,100K-150K,Yes,Yes,Yes,4,5,2
E0098,43,Male,UK,Europe,Hybrid,Medium (51-500),9,Manager,Day Shift,<50K,Yes,Yes,Yes,4,10,6
E0099,44,Other,UK,Europe,Hybrid,Large (500+),8,Developer,Night Shift,<50K,Yes,Yes,Partial,2,8,1
E0100,57,Male,India,Asia,Yes,Medium (51-500),3,Analyst,Flexible,50K-100K,Yes,No,Yes,1,7,6
E0101,55,Female,UK,Europe,Yes,Large (500+),16,Data Scientist,Day Shift,50K-100K,No,Yes,Yes,2,7,5
E0102,42,Female,Australia,Oceania,Yes,Large (500+),14,Developer,Flexible,>150K,No,Yes,No,1,6,6
E0103,47,Other,South Africa,Africa,Hybrid,Medium (51-500),9,Engineer,Day Shift,<50K,No,No,Partial,4,7,5
E0104,55,Female,France,Europe,No,Large (500+),30,Manager,Night Shift,>150K,No,Yes,Partial,1,7,7
E0105,21,Male,Australia,Oceania,No,Large (500+),21,Manager,Flexible,<50K,Yes,Yes,No,3,10,1
E0106,55,Female,Canada,North America,No,Large (500+),11,Data Scientist,Night Shift,100K-150K,Not Sure,No,Yes,5,2,3
E0107,57,Male,Germany,Europe,No,Small (1-50),3,Developer,Night Shift,<50K,No,No,Partial,1,10,6
E0108,34,Male,UK,Europe,Yes,Medium (51-500),5,Analyst,Day Shift,<50K,No,No,No,5,2,1
E0109,23,Female,Germany,Europe,Yes,Small (1-50),29,Data Scientist,Flexible,100K-150K,Yes,No,Yes,3,10,7
E0110,21,Other,Brazil,South America,Hybrid,Medium (51-500),10,Developer,Night Shift,<50K,Yes,No,Partial,5,7,4
E0111,25,Female,India,Asia,Hybrid,Medium (51-500),13,Designer,Day Shift,>150K,Yes,No,Yes,3,10,3
E0112,46,Male,Brazil,South America,No,Large (500+),4,Manager,Day Shift,50K-100K,Yes,Yes,Partial,5,7,10
E0113,34,Male,India,Asia,Yes,Medium (51-500),24,Analyst,Day Shift,50K-100K,Not Sure,Yes,Partial,5,7,9
E0114,59,Female,USA,North America,No,Small (1-50),13,Engineer,Night Shift,>150K,Not Sure,No,No,2,5,1
E0115,47,Other,Germany,Europe,Hybrid,Small (1-50),12,Analyst,Day Shift,100K-150K,No,No,Partial,1,1,8
E0116,29,Other,India,Asia,Hybrid,Small (1-50),5,Engineer,Flexible,<50K,Not Sure,No,Partial,5,2,1
E0117,35,Male,Japan,Asia,No,Medium (51-500),10,Analyst,Flexible,>150K,No,No,Yes,4,9,5
E0118,35,Male,Australia,Oceania,Hybrid,Small (1-50),28,Manager,Night Shift,50K-100K,No,No,No,2,8,10
E0119,46,Other,India,Asia,No,Medium (51-500),24,Engineer,Flexible,50K-100K,Not Sure,Yes,Yes,1,8,8
E0120,33,Female,India,Asia,Yes,Small (1-50),9,Developer,Day Shift,>150K,No,Yes,Yes,2,10,6
E0121,52,Male,Australia,Oceania,No,Small (1-50),20,Engineer,Night Shift,50K-100K,Yes,No,Partial,1,1,7
E0122,59,Male,Germany,Europe,Yes,Medium (51-500),7,Data Scientist,Day Shift,>150K,No,No,Yes,3,6,8
